Model,Baseline F1,Baseline Recall,Baseline Precision,Tuned F1,Tuned Recall,Tuned Precision
Isolation Forest,0.4482860870596608,0.4527160567766665,0.44394197451107065,0.4369006747957855,0.4420554590645026,0.43186472412380783
One-Class SVM,0.38088165399239543,0.38396119063304784,0.3778511227677256,0.4318049912942542,0.4901479307660059,0.3858739214484417
LOF,0.16099786679307893,0.16272384260645625,0.15930812078569334,0.20284519708643403,0.23099958076301133,0.18080817551096945
