contamination,max_features,n_estimators,random_state,mean_f1,std_f1,mean_auc
0.25,1.0,200,42,0.45446534563053603,0.009299009093370022,0.52641024
0.25,1.0,50,42,0.4542384419690022,0.013272189597604771,0.5182205066666666
0.25,1.0,100,42,0.44905469487073096,0.013997235923798493,0.51786408
0.25,0.5,100,42,0.44679168047362655,0.010781319848663106,0.52313048
0.25,0.75,200,42,0.44519999329379395,0.014110396167643438,0.5287505866666667
0.25,0.5,200,42,0.4442832890970248,0.005922447279042122,0.5321090666666666
0.25,0.5,50,42,0.4400414583448975,0.01007964307343631,0.50590632
0.25,0.75,100,42,0.43707927566957067,0.014833916517035299,0.5203542666666666
0.25,0.75,50,42,0.4272435343420698,0.011987873972947071,0.5380056533333333
0.2,1.0,50,42,0.37474211171653965,0.013207821415803338,0.5182205066666666
0.2,1.0,200,42,0.36744220521754944,0.0122681490262473,0.52641024
0.2,0.5,100,42,0.36340724891303205,0.008949395142621433,0.52313048
0.2,1.0,100,42,0.36139323221503794,0.0073569856034404624,0.51786408
0.2,0.75,200,42,0.3589699994526723,0.00910013275509978,0.5287505866666667
0.2,0.5,200,42,0.3550275508184019,0.008652416910225696,0.5321090666666666
0.2,0.5,50,42,0.3547556855077851,0.006559472934270301,0.50590632
0.2,0.75,100,42,0.3498354490990123,0.010935422758665948,0.5203542666666666
0.2,0.75,50,42,0.345752432698429,0.0142394850929376,0.5380056533333333
0.15,1.0,50,42,0.2827114807386824,0.016236503633825252,0.5182205066666666
0.15,1.0,100,42,0.2785177559429775,0.016509497458624157,0.51786408
0.15,1.0,200,42,0.2783713864182873,0.013115877124776316,0.52641024
0.15,0.75,200,42,0.27776466785589865,0.005768851708901781,0.5287505866666667
0.15,0.75,100,42,0.27683434260451684,0.009688108962003839,0.5203542666666666
0.15,0.5,200,42,0.27643529798460476,0.007569241132223554,0.5321090666666666
0.15,0.5,100,42,0.2760047757182638,0.011721579432911824,0.52313048
0.15,0.5,50,42,0.27261439183118247,0.011535400191866226,0.50590632
0.15,0.75,50,42,0.2699039616958599,0.018346484271590014,0.5380056533333333
0.1,0.75,200,42,0.19333388370687854,0.008322780643426857,0.5287505866666667
0.1,1.0,200,42,0.19120850521961605,0.006659653985565687,0.52641024
0.1,0.5,200,42,0.18814303620143039,0.007186147247714684,0.5321090666666666
0.1,0.5,50,42,0.18660014410138662,0.011391558951090152,0.50590632
0.1,0.75,100,42,0.18418884449132544,0.005506692069876634,0.5203542666666666
0.1,0.75,50,42,0.18188618398006792,0.009545416533662213,0.5380056533333333
0.1,1.0,100,42,0.18052944985907438,0.007784395214332485,0.51786408
0.1,1.0,50,42,0.17720822609081446,0.014732840443042933,0.5182205066666666
0.1,0.5,100,42,0.17541139589201604,0.004236106769112937,0.52313048
