Model,Precision,Recall,F1-Score,Balanced_Accuracy,AUC-ROC
Isolation Forest,0.7770175085530288,0.46247828951308617,0.5798385582879669,0.6648799185482422,0.7018211271847458
One-Class SVM,0.7159325720500271,0.39426244235491403,0.5084968329986096,0.6189135772893334,0.6114703030626202
Local Outlier Factor,0.3901857215880048,0.13715038629693957,0.20296020561907294,0.4614002515421932,0.44538177864313544
Autoencoder,0.8365641116841543,0.5634545127867282,0.6733707905378807,0.7266874288794394,0.8718731913905791
Second Autoencoder,0.9375133139245899,0.790740851649997,0.8578947368421053,0.8690183865365035,0.9390832324147114
Ensemble Autoencoder,0.8505452212957024,0.9529855662693897,0.8988560937720661,0.8927651673953405,0.980856289119234
