Model,Recall_Normal,Recall_Anomaly,Precision_Normal,Precision_Anomaly
Isolation Forest,0.858233049603757,0.4499610708510511,0.8642705131236699,0.4374890816980143
One-Class SVM,0.841018491341356,0.39827513924657126,0.8508329126703685,0.3803695018017503
Local Outlier Factor,0.7814939829762254,0.13421572737617535,0.7864917955307428,0.1308231173380035
Autoencoder,0.8797622541825653,0.5255435108103252,0.8832751329767641,0.5171499292786421
Second Autoencoder,0.939771059583211,0.7704378031981793,0.9435235527265762,0.7581329561527581
Ensemble Autoencoder,0.8207954211916643,0.96316703599449,0.9891235144312394,0.5684091471388683
