Model,Precision,Recall,F1-Score,Balanced_Accuracy,AUC-ROC
Isolation Forest,0.7585823909531503,0.4499610708510511,0.5648659824818616,0.6533808468587171,0.6849539844550057
One-Class SVM,0.7202426080363912,0.39827513924657126,0.5129193983802546,0.6217883452117147,0.6178930145183319
Local Outlier Factor,0.380539989811513,0.13421572737617535,0.19844151244133534,0.45786668263759955,0.4381895950149311
Autoencoder,0.818868980963046,0.5255435108103252,0.6402072009630467,0.7046475414745164,0.8491549739538722
Second Autoencoder,0.9285404937202252,0.7704378031981793,0.8421328270760368,0.8555728573995329,0.9451516303452827
Ensemble Autoencoder,0.8427837752856094,0.96316703599449,0.8989630789010313,0.8917470204228304,0.9832259919515207
