Model,Precision,Recall,F1-Score,Balanced_Accuracy,AUC-ROC
Isolation Forest,0.4374890816980143,0.4499610708510511,0.4436374372601122,0.6540970602274041,0.6856998709662766
One-Class SVM,0.3803695018017503,0.39827513924657126,0.38911644236395554,0.6196468152939636,0.6128682072476054
Local Outlier Factor,0.1308231173380035,0.13421572737617535,0.1324977089307358,0.4578548551762004,0.43859023392805196
Autoencoder,0.5171499292786421,0.5255435108103252,0.5213129362839745,0.7026528824964453,0.8482328393612151
Second Autoencoder,0.7581329561527581,0.7704378031981793,0.7642358532600624,0.8551044313906953,0.9450580003097034
Ensemble Autoencoder,0.5684091471388683,0.96316703599449,0.7149144254278729,0.8919812285930772,0.9829716804174841
