Epoch,Loss
1,0.3989110986589126
2,0.26740464859886304
3,0.20299032383442261
4,0.20187005396196903
5,0.17505888935233996
6,0.15132467567258695
7,0.1920282032999007
8,0.1580917027899439
9,0.14102889755641426
10,0.13958280106931834
11,0.14471539717600945
12,0.12208557602889276
13,0.11698180426704581
14,0.1248522430261371
15,0.11041689856256409
16,0.11373166189993632
17,0.10822390344319649
18,0.09501087091282882
19,0.10525619103143119
20,0.0911063289741745
21,0.0854561819574421
22,0.08952605186814086
23,0.09026579554960233
24,0.08348855485147794
25,0.0893073104715365
26,0.09338670249647521
27,0.07797574604345828
28,0.09752734038307079
29,0.06152673459370615
30,0.07241140707754143
