Model,Precision,Recall,F1-Score,Balanced_Accuracy,AUC-ROC
Isolation Forest,0.43510825043885315,0.44534946397556446,0.44016929588303194,0.6518352837928894,0.6900940473252095
One-Class SVM,0.37919265623161114,0.385937593579685,0.3825353952094031,0.6155546494461384,0.6091902644729885
Local Outlier Factor,0.4417416108712016,0.667784631969815,0.531737326529639,0.7304948989024302,0.7572320810817591
Autoencoder,0.5307946827654264,0.5476432892136311,0.5390873717721967,0.7145099334239567,0.8506629210153048
Second Autoencoder,0.7614711033274956,0.7812181829071091,0.7712182576048718,0.8606267022548459,0.944697373703253
Ensemble Autoencoder,0.5721696781479391,0.9710127567826555,0.7200497413008239,0.8965498183678466,0.9472711295908134
