Model,Precision,Recall,F1-Score,Balanced_Accuracy,AUC-ROC
Isolation Forest,0.7639202794329155,0.44534946397556446,0.5626726192728235,0.6538599748457806,0.695594651381249
One-Class SVM,0.7202414217055997,0.385937593579685,0.5025737014506317,0.6180152123135892,0.6117640817351397
Local Outlier Factor,0.7680121228819397,0.667784631969815,0.7144001281435207,0.7330358747080314,0.7601054922348327
Autoencoder,0.8234128770823953,0.5476432892136311,0.6577944032803396,0.7150985206923399,0.8529555271512812
Second Autoencoder,0.9264862561261453,0.7812181829071091,0.8476735118273979,0.8596154997903815,0.9435633190594854
Ensemble Autoencoder,0.8447790746144227,0.9710127567826555,0.9035080386748029,0.8962987362999342,0.9469515544594388
