Model,Recall_Normal,Recall_Anomaly,Precision_Normal,Precision_Anomaly
Isolation Forest,0.8583211036102143,0.44534946397556446,0.8633002199359381,0.43510825043885315
One-Class SVM,0.8451717053125917,0.385937593579685,0.8488716595669413,0.37919265623161114
Local Outlier Factor,0.7932051658350455,0.667784631969815,0.9069232834418417,0.4417416108712016
Autoencoder,0.8813765776342823,0.5476432892136311,0.8882857565448898,0.5307946827654264
Second Autoencoder,0.9400352216025829,0.7812181829071091,0.946046937539693,0.7614711033274956
Ensemble Autoencoder,0.8220868799530379,0.9710127567826555,0.9914337799330986,0.5721696781479391
