Model,F1-Score,AUC-ROC
Isolation Forest,0.4401692958830319,0.6900940473252095
One-Class SVM,0.3890166932106412,0.6181055203626844
Local Outlier Factor,0.1371371371371371,0.4422515590161274
Second Autoencoder,0.7784345759691074,0.9429075359628568
Autoencoder,0.6128026139907916,0.8727853334521427
Second Autoencoder,0.7666122085251745,0.9369607847911108
Ensemble Autoencoder,0.7371018704305912,0.9837635890117615
