Epoch,Train_Loss,Val_Loss
1,0.4192568617449869,0.33903118016163836
2,0.245358413244652,0.18641129963893782
3,0.21157169365827766,0.13273063236128593
4,0.17588549286900534,0.1593982020953393
5,0.1542215225169497,0.24722814669792678
6,0.15410843305017363,0.06495675069252907
7,0.13885973673063443,0.10388647694461045
8,0.13038872899658513,0.06276767135370608
9,0.13522818318672744,0.08285112752198369
10,0.12600782067969554,0.11191515834329063
11,0.1498406770887032,0.05814653608564201
12,0.10510956560628924,0.08013091040608433
13,0.11744263729439544,0.05446320167311588
14,0.1067056777821631,0.04854076972648409
15,0.1318748031810805,0.05652747622198782
16,0.1150427877918273,0.09631563216832714
17,0.113862127816709,0.11542824118452527
18,0.10549477366278506,0.09646226962968721
19,0.12026043760794233,0.042510837537931105
20,0.11366458471419807,0.03435069803298307
21,0.09124847934297756,0.04306304570979602
22,0.10224345672674082,0.03824949417824195
23,0.10598944398315813,0.042698163105519875
24,0.09962613296421487,0.039421464018097256
25,0.09801071131147698,0.09448557990396218
