Epoch,Train_Loss,Val_Loss
1,0.32059130050930523,0.11197015578283652
2,0.14558672876841044,0.06899647917577291
3,0.11381803122852713,0.04769985225983578
4,0.10074044018333611,0.04015398611180003
5,0.09489424511972817,0.0383633494380706
6,0.09404111461319493,0.03517669190881302
7,0.0838731809906847,0.10453346820595365
8,0.07962424384224535,0.08992065147440927
9,0.1064555797707413,0.035124630185962256
10,0.06607114486347067,0.02977615258300412
11,0.05241273027776154,0.0562430929979136
12,0.07613933690762262,0.03235570033365733
13,0.07309773284254628,0.045352258387012186
14,0.09895122635331753,0.03326231504408351
15,0.06986161823861821,0.02704786141610234
16,0.043955734049452924,0.1375923378109368
17,0.04940984277255593,0.0326197637875237
18,0.062447470665212876,0.05203388801310072
19,0.07353298467453036,0.02719015158784706
20,0.04535042354109735,0.024169884594431208
21,0.03836639994245698,0.02169878830662593
22,0.029190565367166927,0.0249812044549104
23,0.029700163545105792,0.06300990684554199
24,0.07950132183872315,0.021978685822773604
25,0.03366231554782448,0.029027627374301514
26,0.048058236164053185,0.0209831550260868
27,0.05098356642563869,0.020612746924465342
28,0.028913361202175622,0.019559213461578268
29,0.029664493266325313,0.02093127351468412
30,0.040104294965755544,0.02006418654877993
31,0.03658431734215754,0.02412357732730368
32,0.056157495773675514,0.020105676433063574
33,0.030642733417967454,0.01742511590235589
34,0.02494976381077445,0.018355467487150015
35,0.03751117079813789,0.021948587922350927
36,0.02699627850191032,0.016861614715186355
37,0.05154302251158071,0.015746391123382605
38,0.029916775480761118,0.015424074645713574
39,0.0302823347044768,0.04540877014884065
40,0.07228309119243281,0.017594963980367556
41,0.027538377838306687,0.01575759318766265
42,0.022930083156359894,0.016699715935516203
43,0.03729006367384357,0.08706959542883237
